umur,status_pekerjaan,status_pernikahan
23,buruh,duda
59,wirausaha,belum menikah
31,pengangguran,duda
58,pegawai tetap,belum menikah
59,wirausaha,cerai
70,wirausaha,cerai
39,pengangguran,janda
72,pegawai tetap,duda
64,pengangguran,menikah
54,wirausaha,menikah
44,wirausaha,cerai
59,wirausaha,duda
37,buruh,belum menikah
39,buruh,duda
53,pengangguran,cerai
34,wirausaha,duda
68,pengangguran,cerai
20,pegawai tetap,menikah
42,wirausaha,cerai
66,buruh,cerai
76,wirausaha,belum menikah
74,wirausaha,belum menikah
23,pegawai tetap,duda
54,buruh,duda
78,wirausaha,janda
18,pekerja informal,cerai
51,buruh,cerai
58,buruh,menikah
47,pegawai tetap,cerai
18,pekerja informal,janda
69,pegawai tetap,belum menikah
47,pengangguran,duda
50,buruh,janda
35,pekerja informal,menikah
36,wirausaha,menikah
55,buruh,duda
19,wirausaha,duda
77,wirausaha,duda
76,pegawai tetap,menikah
47,buruh,menikah
73,pekerja informal,janda
25,wirausaha,menikah
21,pekerja informal,janda
32,pekerja informal,cerai
39,pegawai tetap,cerai
79,pegawai tetap,menikah
72,wirausaha,menikah
44,pegawai tetap,duda
29,pengangguran,belum menikah
29,buruh,janda
79,pegawai tetap,cerai
22,pengangguran,cerai
35,buruh,belum menikah
59,pekerja informal,cerai
64,wirausaha,belum menikah
43,pengangguran,belum menikah
53,buruh,menikah
75,pekerja informal,cerai
47,pekerja informal,menikah
70,pengangguran,janda
34,pengangguran,duda
77,pegawai tetap,janda
22,pekerja informal,belum menikah
65,pegawai tetap,duda
51,pekerja informal,janda
23,buruh,menikah
19,pekerja informal,duda
23,pekerja informal,cerai
21,pekerja informal,menikah
62,buruh,cerai
64,buruh,janda
74,pegawai tetap,janda
72,pegawai tetap,menikah
69,buruh,cerai
41,buruh,cerai
23,pegawai tetap,duda
30,buruh,belum menikah
45,pekerja informal,cerai
29,pengangguran,cerai
71,pengangguran,cerai
39,buruh,janda
44,buruh,cerai
35,buruh,janda
61,pengangguran,janda
39,pegawai tetap,cerai
49,pekerja informal,janda
59,pekerja informal,belum menikah
74,wirausaha,belum menikah
66,wirausaha,duda
37,buruh,cerai
66,pegawai tetap,cerai
18,buruh,cerai
68,pegawai tetap,janda
77,buruh,menikah
18,pengangguran,menikah
72,wirausaha,janda
67,buruh,menikah
74,pengangguran,cerai
38,pegawai tetap,belum menikah
50,pekerja informal,cerai
75,pekerja informal,duda
41,pengangguran,janda
45,wirausaha,belum menikah
74,pengangguran,menikah
38,pegawai tetap,janda
56,pegawai tetap,cerai
42,pekerja informal,duda
41,buruh,duda
79,buruh,janda
30,pegawai tetap,menikah
35,pegawai tetap,duda
19,pegawai tetap,duda
74,pengangguran,cerai
27,buruh,cerai
73,wirausaha,belum menikah
21,pengangguran,janda
37,pengangguran,belum menikah
33,pengangguran,cerai
78,buruh,menikah
66,pekerja informal,menikah
51,wirausaha,duda
32,wirausaha,janda
31,buruh,janda
56,pekerja informal,duda
76,pekerja informal,menikah
48,pekerja informal,cerai
39,pekerja informal,cerai
53,pekerja informal,duda
71,wirausaha,menikah
73,pegawai tetap,belum menikah
37,buruh,cerai
36,buruh,menikah
60,pegawai tetap,menikah
35,buruh,janda
50,pekerja informal,cerai
73,buruh,belum menikah
46,wirausaha,cerai
39,pengangguran,menikah
24,pengangguran,belum menikah
25,pegawai tetap,duda
48,pegawai tetap,duda
67,pegawai tetap,duda
72,pekerja informal,janda
40,pekerja informal,belum menikah
62,pengangguran,menikah
39,pekerja informal,menikah
74,wirausaha,janda
39,wirausaha,menikah
53,wirausaha,belum menikah
39,wirausaha,cerai
33,buruh,janda
20,wirausaha,duda
53,wirausaha,duda
69,pengangguran,cerai
37,buruh,menikah
50,pegawai tetap,menikah
27,wirausaha,duda
52,pegawai tetap,belum menikah
65,wirausaha,janda
77,pegawai tetap,janda
65,wirausaha,belum menikah
50,pegawai tetap,janda
32,pegawai tetap,duda
35,pegawai tetap,menikah
36,wirausaha,belum menikah
45,wirausaha,duda
52,buruh,duda
65,pengangguran,belum menikah
23,wirausaha,duda
25,pegawai tetap,menikah
60,buruh,menikah
31,wirausaha,menikah
36,pegawai tetap,janda
65,pegawai tetap,belum menikah
77,wirausaha,belum menikah
33,pegawai tetap,cerai
18,wirausaha,menikah
68,buruh,duda
22,pekerja informal,cerai
49,wirausaha,janda
69,pegawai tetap,belum menikah
77,pengangguran,menikah
31,buruh,cerai
18,buruh,duda
79,pekerja informal,belum menikah
75,buruh,cerai
42,pengangguran,cerai
77,pegawai tetap,menikah
43,pengangguran,belum menikah
74,wirausaha,janda
67,pekerja informal,duda
50,buruh,cerai
49,pekerja informal,duda
75,pekerja informal,janda
62,wirausaha,menikah
75,pekerja informal,janda
18,pegawai tetap,janda
29,pekerja informal,duda
73,buruh,cerai
69,pekerja informal,belum menikah
49,buruh,duda
59,pengangguran,janda
63,pengangguran,janda
54,wirausaha,menikah
58,pegawai tetap,cerai
22,pengangguran,duda
48,pegawai tetap,duda
77,buruh,menikah
63,pegawai tetap,cerai
53,buruh,cerai
58,pekerja informal,belum menikah
30,buruh,menikah
50,buruh,duda
63,pegawai tetap,cerai
50,buruh,janda
28,buruh,belum menikah
36,pegawai tetap,cerai
19,pengangguran,duda
29,wirausaha,cerai
67,pegawai tetap,cerai
41,pengangguran,menikah
18,pegawai tetap,menikah
57,pekerja informal,menikah
24,pegawai tetap,belum menikah
32,pekerja informal,belum menikah
20,pegawai tetap,janda
51,pegawai tetap,janda
48,pegawai tetap,belum menikah
40,pekerja informal,belum menikah
40,wirausaha,menikah
23,pekerja informal,janda
78,buruh,belum menikah
77,pekerja informal,duda
56,pegawai tetap,cerai
38,pegawai tetap,belum menikah
34,wirausaha,menikah
59,wirausaha,janda
63,wirausaha,cerai
23,pekerja informal,duda
69,pekerja informal,cerai
18,pekerja informal,belum menikah
20,pegawai tetap,menikah
69,pekerja informal,cerai
46,buruh,janda
70,wirausaha,menikah
76,pegawai tetap,belum menikah
59,wirausaha,belum menikah
78,buruh,menikah
52,pengangguran,janda
29,pegawai tetap,belum menikah
47,pegawai tetap,duda
23,wirausaha,belum menikah
45,wirausaha,janda
70,wirausaha,cerai
50,pekerja informal,janda
57,pengangguran,duda
40,buruh,janda
44,pegawai tetap,cerai
71,pengangguran,duda
55,pegawai tetap,janda
61,wirausaha,cerai
19,pengangguran,duda
72,wirausaha,cerai
33,pegawai tetap,duda
48,pengangguran,menikah
76,wirausaha,cerai
70,wirausaha,cerai
66,pengangguran,belum menikah
25,pekerja informal,menikah
78,pegawai tetap,duda
73,wirausaha,duda
33,buruh,janda
31,pegawai tetap,janda
50,buruh,duda
78,wirausaha,belum menikah
44,pekerja informal,cerai
36,pekerja informal,belum menikah
48,buruh,duda
70,wirausaha,duda
58,pegawai tetap,janda
63,pegawai tetap,menikah
21,wirausaha,duda
59,wirausaha,janda
35,pengangguran,menikah
57,pekerja informal,cerai
61,pengangguran,belum menikah
19,buruh,duda
42,pegawai tetap,belum menikah
35,wirausaha,belum menikah
36,pengangguran,cerai
58,pegawai tetap,belum menikah
26,pekerja informal,menikah
43,pengangguran,duda
44,pengangguran,cerai
43,pekerja informal,cerai
30,pegawai tetap,duda
27,pegawai tetap,menikah
50,wirausaha,menikah
32,wirausaha,cerai
45,pekerja informal,cerai
47,pekerja informal,cerai
69,pegawai tetap,cerai
62,buruh,janda
63,pekerja informal,duda
68,wirausaha,menikah
76,buruh,duda
47,pengangguran,belum menikah
60,pekerja informal,duda
78,pekerja informal,cerai
25,pekerja informal,janda
53,pegawai tetap,duda
57,pegawai tetap,duda
58,buruh,duda
37,pekerja informal,belum menikah
53,pekerja informal,janda
73,buruh,duda
55,pekerja informal,duda
28,pengangguran,duda
49,pekerja informal,belum menikah
70,wirausaha,janda
24,wirausaha,janda
36,pegawai tetap,menikah
31,wirausaha,janda
42,pengangguran,menikah
57,wirausaha,menikah
46,pekerja informal,menikah
68,pekerja informal,belum menikah
55,pekerja informal,belum menikah
28,pegawai tetap,duda
55,pegawai tetap,janda
32,buruh,cerai
48,pengangguran,menikah
27,pekerja informal,menikah
31,pegawai tetap,duda
67,buruh,janda
40,wirausaha,menikah
56,buruh,menikah
43,pegawai tetap,janda
49,pegawai tetap,cerai
60,wirausaha,cerai
56,wirausaha,janda
25,pengangguran,menikah
37,pekerja informal,duda
64,pekerja informal,belum menikah
49,wirausaha,janda
42,pekerja informal,belum menikah
51,wirausaha,menikah
38,pegawai tetap,menikah
19,wirausaha,cerai
27,pekerja informal,belum menikah
56,pegawai tetap,cerai
57,buruh,belum menikah
56,pengangguran,menikah
79,buruh,cerai
72,pekerja informal,janda
