nik_valid,memiliki_kk,domisili_tetap,data_ganda,masuk_dtks,status_perkawinan,pekerjaan_kepala_keluarga,jumlah_anggota_kk,usia_kepala_keluarga,layak_subsidi
ya,ya,ya,tidak,ya,menikah,tidak bekerja,6,47,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,1,57,0
tidak,ya,ya,tidak,tidak,belum menikah,wiraswasta,1,49,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,4,28,1
ya,ya,ya,tidak,ya,menikah,buruh,8,39,1
ya,ya,ya,ya,tidak,belum menikah,wiraswasta,5,50,0
ya,ya,ya,tidak,ya,menikah,buruh,3,63,1
ya,ya,ya,tidak,tidak,menikah,petani,3,61,0
ya,ya,ya,tidak,ya,janda/duda,buruh,3,52,1
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,7,50,1
ya,ya,ya,tidak,ya,menikah,petani,7,25,1
ya,tidak,ya,tidak,tidak,menikah,pegawai,3,62,0
ya,ya,ya,tidak,tidak,menikah,pegawai,2,41,0
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,3,51,0
ya,ya,ya,tidak,ya,janda/duda,petani,6,45,1
ya,ya,ya,tidak,ya,menikah,petani,1,60,0
ya,ya,tidak,tidak,tidak,menikah,pegawai,1,37,0
tidak,ya,ya,tidak,ya,menikah,petani,8,58,1
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,5,37,1
ya,ya,ya,tidak,ya,janda/duda,buruh,7,52,1
ya,ya,ya,tidak,tidak,menikah,petani,5,20,0
ya,ya,ya,tidak,tidak,menikah,tidak bekerja,4,29,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,3,33,1
ya,ya,ya,tidak,ya,menikah,buruh,7,43,1
ya,ya,ya,tidak,tidak,menikah,buruh,8,61,1
ya,ya,ya,tidak,ya,menikah,petani,4,51,1
tidak,ya,tidak,tidak,tidak,menikah,wiraswasta,4,61,0
ya,ya,ya,tidak,ya,janda/duda,petani,3,51,1
ya,ya,ya,tidak,ya,menikah,buruh,8,55,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,3,48,1
ya,ya,ya,ya,tidak,menikah,wiraswasta,2,31,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,6,58,1
tidak,ya,ya,tidak,tidak,menikah,pegawai,5,42,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,3,46,0
ya,ya,tidak,tidak,tidak,menikah,pegawai,3,47,0
ya,ya,ya,tidak,ya,menikah,buruh,6,27,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,4,53,1
ya,ya,ya,tidak,ya,menikah,buruh,1,62,0
ya,ya,ya,tidak,ya,menikah,buruh,3,26,1
ya,ya,tidak,tidak,tidak,menikah,buruh,1,29,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,2,57,0
ya,ya,ya,tidak,ya,menikah,petani,3,39,1
ya,ya,ya,tidak,ya,menikah,buruh,6,38,1
ya,ya,tidak,ya,tidak,belum menikah,wiraswasta,5,34,0
ya,ya,ya,tidak,ya,janda/duda,buruh,5,53,1
ya,ya,ya,tidak,tidak,belum menikah,petani,2,67,0
tidak,ya,ya,tidak,ya,menikah,pegawai,2,60,0
ya,ya,tidak,tidak,ya,menikah,petani,5,47,1
ya,ya,tidak,ya,ya,belum menikah,pegawai,3,30,0
ya,ya,ya,ya,ya,janda/duda,buruh,7,32,1
ya,ya,ya,tidak,tidak,menikah,pegawai,4,27,0
ya,ya,ya,tidak,ya,menikah,buruh,8,39,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,6,42,1
ya,ya,ya,tidak,ya,menikah,petani,7,62,1
ya,ya,ya,tidak,ya,janda/duda,buruh,8,50,1
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,5,57,0
ya,ya,ya,tidak,tidak,belum menikah,pegawai,3,57,0
ya,ya,ya,tidak,ya,menikah,buruh,2,65,0
ya,ya,ya,tidak,ya,menikah,wiraswasta,5,34,0
ya,ya,ya,tidak,ya,janda/duda,buruh,3,44,1
tidak,ya,ya,tidak,ya,janda/duda,petani,3,29,1
ya,ya,ya,tidak,tidak,janda/duda,buruh,3,27,1
ya,ya,ya,ya,ya,menikah,tidak bekerja,5,58,1
ya,ya,ya,tidak,tidak,belum menikah,petani,4,45,0
ya,ya,ya,tidak,tidak,janda/duda,buruh,4,34,1
ya,ya,tidak,tidak,tidak,janda/duda,buruh,6,35,1
ya,ya,ya,tidak,ya,janda/duda,petani,4,27,1
ya,ya,tidak,tidak,tidak,menikah,petani,8,49,1
tidak,ya,ya,tidak,ya,belum menikah,petani,4,45,0
ya,ya,ya,tidak,tidak,menikah,petani,6,64,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,6,52,1
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,5,23,0
ya,ya,tidak,tidak,tidak,menikah,buruh,2,43,0
ya,ya,ya,tidak,tidak,belum menikah,pegawai,1,54,0
ya,ya,ya,tidak,tidak,menikah,pegawai,1,25,0
ya,ya,ya,tidak,ya,menikah,buruh,4,52,1
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,4,42,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,1,29,0
ya,ya,ya,tidak,ya,janda/duda,petani,3,25,1
ya,ya,ya,ya,tidak,belum menikah,wiraswasta,2,68,0
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,5,52,1
ya,ya,ya,tidak,ya,menikah,buruh,6,48,1
ya,ya,ya,tidak,tidak,menikah,buruh,1,44,0
ya,ya,ya,tidak,tidak,janda/duda,petani,8,54,1
ya,ya,ya,tidak,ya,menikah,buruh,7,30,1
ya,ya,ya,tidak,ya,menikah,buruh,3,38,1
ya,ya,ya,tidak,ya,janda/duda,buruh,5,64,1
ya,tidak,ya,tidak,ya,belum menikah,wiraswasta,5,46,0
ya,ya,ya,tidak,tidak,menikah,tidak bekerja,4,32,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,2,38,0
ya,ya,ya,ya,ya,menikah,wiraswasta,5,22,0
ya,ya,ya,ya,ya,janda/duda,buruh,8,64,1
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,1,30,0
ya,ya,ya,tidak,ya,menikah,buruh,3,45,1
ya,ya,ya,tidak,tidak,menikah,buruh,4,40,1
ya,ya,ya,tidak,ya,janda/duda,buruh,6,46,1
ya,ya,tidak,ya,tidak,menikah,pegawai,3,23,0
ya,ya,ya,tidak,tidak,janda/duda,buruh,4,34,1
tidak,ya,ya,tidak,ya,menikah,tidak bekerja,6,57,1
ya,tidak,ya,tidak,ya,menikah,tidak bekerja,8,31,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,5,61,0
ya,ya,ya,tidak,ya,janda/duda,buruh,5,54,1
ya,ya,tidak,tidak,tidak,menikah,pegawai,4,36,0
ya,ya,ya,tidak,ya,janda/duda,petani,6,41,1
tidak,ya,ya,tidak,ya,belum menikah,wiraswasta,5,50,0
ya,ya,tidak,tidak,tidak,menikah,wiraswasta,3,64,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,7,60,1
tidak,ya,ya,ya,tidak,belum menikah,pegawai,5,29,0
ya,ya,ya,tidak,ya,janda/duda,buruh,6,56,1
ya,ya,ya,tidak,tidak,menikah,buruh,4,32,1
tidak,ya,ya,tidak,ya,menikah,tidak bekerja,8,57,1
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,5,63,1
ya,ya,ya,tidak,tidak,menikah,pegawai,1,49,0
ya,ya,ya,tidak,ya,janda/duda,buruh,7,45,1
tidak,ya,ya,tidak,tidak,menikah,buruh,6,49,1
tidak,ya,ya,tidak,tidak,belum menikah,wiraswasta,2,59,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,1,27,0
ya,ya,ya,tidak,ya,janda/duda,buruh,4,38,1
ya,ya,ya,tidak,ya,janda/duda,buruh,6,57,1
ya,ya,tidak,ya,tidak,menikah,petani,3,37,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,4,48,1
ya,tidak,ya,tidak,ya,menikah,buruh,7,52,1
ya,ya,ya,ya,tidak,belum menikah,pegawai,5,68,0
ya,ya,ya,tidak,ya,janda/duda,buruh,6,61,1
tidak,ya,tidak,tidak,tidak,menikah,wiraswasta,4,35,0
ya,ya,ya,tidak,ya,janda/duda,buruh,5,59,1
ya,ya,ya,tidak,ya,belum menikah,petani,5,60,0
ya,ya,ya,tidak,ya,janda/duda,buruh,6,58,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,6,53,1
ya,ya,ya,tidak,ya,janda/duda,buruh,5,41,1
ya,ya,ya,tidak,ya,menikah,buruh,5,61,1
ya,ya,ya,tidak,ya,menikah,buruh,3,57,1
ya,ya,ya,tidak,ya,menikah,buruh,5,64,1
ya,ya,ya,tidak,tidak,menikah,buruh,5,26,1
ya,ya,ya,tidak,ya,janda/duda,buruh,3,50,1
ya,ya,ya,tidak,ya,belum menikah,pegawai,5,60,0
ya,ya,ya,tidak,ya,menikah,petani,8,45,1
ya,ya,ya,tidak,ya,menikah,buruh,4,41,1
ya,ya,ya,tidak,tidak,menikah,pegawai,4,43,0
ya,ya,ya,tidak,tidak,menikah,buruh,6,35,1
ya,tidak,tidak,tidak,tidak,menikah,buruh,3,41,0
ya,ya,ya,tidak,tidak,menikah,pegawai,1,49,0
ya,ya,tidak,tidak,tidak,menikah,wiraswasta,3,31,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,8,50,1
ya,ya,ya,tidak,ya,menikah,buruh,4,58,1
ya,ya,ya,tidak,tidak,menikah,petani,6,53,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,59,1
ya,ya,ya,tidak,tidak,menikah,buruh,1,64,0
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,4,44,1
ya,ya,tidak,tidak,tidak,belum menikah,buruh,4,51,0
ya,ya,ya,tidak,ya,janda/duda,buruh,3,35,1
ya,ya,ya,tidak,tidak,menikah,buruh,4,21,0
ya,ya,tidak,tidak,ya,belum menikah,pegawai,1,25,0
ya,ya,ya,tidak,tidak,belum menikah,buruh,3,60,0
ya,ya,ya,tidak,tidak,menikah,buruh,4,62,1
tidak,ya,ya,tidak,ya,menikah,wiraswasta,3,56,0
ya,ya,ya,tidak,ya,janda/duda,buruh,7,49,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,6,35,1
ya,ya,ya,tidak,ya,menikah,petani,5,63,1
ya,ya,ya,tidak,ya,menikah,petani,6,41,1
ya,ya,ya,tidak,ya,menikah,buruh,7,52,1
tidak,ya,ya,tidak,ya,menikah,buruh,7,52,1
ya,ya,ya,ya,tidak,belum menikah,wiraswasta,5,28,0
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,3,46,1
ya,ya,tidak,tidak,tidak,menikah,petani,4,44,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,3,53,0
ya,ya,ya,tidak,tidak,menikah,pegawai,3,68,0
ya,ya,tidak,tidak,tidak,menikah,wiraswasta,1,48,0
ya,ya,ya,ya,ya,menikah,tidak bekerja,4,61,1
ya,ya,tidak,tidak,ya,janda/duda,buruh,5,60,1
ya,ya,ya,tidak,tidak,menikah,tidak bekerja,7,47,1
ya,ya,ya,tidak,ya,janda/duda,petani,6,25,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,38,1
ya,ya,ya,tidak,tidak,menikah,petani,1,44,0
ya,ya,tidak,tidak,ya,menikah,wiraswasta,3,64,0
ya,ya,ya,tidak,tidak,belum menikah,buruh,3,24,0
ya,ya,tidak,tidak,ya,menikah,buruh,5,56,0
ya,ya,ya,tidak,ya,janda/duda,petani,6,28,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,2,43,0
ya,ya,ya,tidak,ya,menikah,petani,8,48,1
ya,ya,tidak,tidak,tidak,menikah,tidak bekerja,5,60,1
ya,ya,ya,tidak,tidak,belum menikah,buruh,1,31,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,3,69,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,1,22,0
ya,ya,ya,tidak,ya,menikah,petani,6,52,1
ya,ya,tidak,tidak,tidak,belum menikah,pegawai,3,66,0
ya,ya,tidak,tidak,tidak,menikah,buruh,7,59,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,4,51,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,1,53,0
ya,ya,ya,tidak,tidak,menikah,tidak bekerja,6,43,1
ya,ya,tidak,ya,tidak,menikah,buruh,3,36,0
ya,ya,ya,tidak,tidak,menikah,buruh,3,62,1
ya,ya,ya,tidak,ya,menikah,buruh,4,61,1
ya,ya,ya,tidak,ya,menikah,petani,8,40,1
tidak,ya,ya,tidak,ya,menikah,buruh,5,34,1
ya,ya,ya,tidak,ya,menikah,petani,4,27,1
ya,ya,ya,tidak,ya,menikah,buruh,7,48,1
ya,ya,ya,tidak,ya,menikah,petani,3,35,0
ya,ya,ya,tidak,ya,menikah,buruh,7,37,1
ya,ya,ya,tidak,ya,menikah,buruh,5,34,1
ya,ya,ya,tidak,tidak,menikah,buruh,3,56,1
ya,ya,ya,tidak,ya,menikah,buruh,6,52,1
ya,ya,ya,tidak,ya,menikah,buruh,4,63,1
ya,ya,tidak,tidak,tidak,belum menikah,wiraswasta,3,63,0
ya,ya,ya,ya,tidak,menikah,petani,5,51,1
ya,ya,ya,tidak,ya,menikah,petani,4,25,1
ya,ya,ya,ya,tidak,menikah,wiraswasta,2,29,0
ya,ya,ya,tidak,tidak,janda/duda,buruh,3,57,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,2,60,0
ya,ya,ya,tidak,ya,menikah,buruh,3,44,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,46,1
ya,ya,tidak,tidak,ya,janda/duda,buruh,4,27,1
ya,ya,ya,tidak,tidak,janda/duda,tidak bekerja,6,42,1
ya,ya,tidak,tidak,ya,menikah,buruh,3,43,1
ya,ya,ya,tidak,tidak,menikah,pegawai,1,22,0
ya,ya,ya,tidak,tidak,menikah,buruh,4,21,0
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,8,31,1
ya,ya,ya,tidak,ya,menikah,petani,5,46,1
ya,ya,ya,ya,tidak,belum menikah,wiraswasta,5,43,0
ya,ya,ya,tidak,ya,janda/duda,buruh,6,28,1
ya,tidak,ya,tidak,ya,menikah,petani,3,38,1
ya,ya,ya,tidak,tidak,menikah,pegawai,1,65,0
ya,ya,ya,ya,ya,menikah,buruh,5,53,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,5,47,0
ya,ya,ya,tidak,ya,janda/duda,buruh,8,35,1
ya,ya,tidak,tidak,tidak,menikah,buruh,7,62,1
ya,ya,tidak,tidak,tidak,menikah,pegawai,5,32,0
ya,ya,ya,tidak,ya,janda/duda,buruh,5,48,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,3,53,1
ya,ya,ya,tidak,ya,menikah,buruh,4,45,1
ya,ya,ya,tidak,ya,menikah,petani,4,25,1
ya,ya,ya,tidak,tidak,belum menikah,petani,3,32,0
ya,ya,tidak,tidak,ya,menikah,buruh,6,45,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,4,34,0
ya,ya,ya,tidak,ya,janda/duda,petani,7,41,1
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,4,43,0
ya,ya,ya,tidak,ya,menikah,buruh,7,52,1
ya,ya,ya,tidak,ya,menikah,buruh,7,30,1
ya,ya,ya,tidak,tidak,menikah,petani,4,41,1
ya,ya,tidak,tidak,ya,janda/duda,tidak bekerja,8,38,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,5,63,0
ya,ya,tidak,tidak,ya,menikah,petani,5,37,1
ya,ya,ya,tidak,tidak,menikah,petani,5,62,1
ya,ya,ya,tidak,tidak,menikah,tidak bekerja,8,64,1
ya,ya,ya,tidak,tidak,menikah,buruh,2,34,0
ya,ya,ya,tidak,tidak,janda/duda,buruh,8,26,1
ya,ya,ya,tidak,tidak,menikah,petani,5,40,1
ya,ya,ya,tidak,ya,belum menikah,wiraswasta,3,23,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,4,44,1
ya,ya,ya,tidak,ya,menikah,buruh,3,20,0
ya,ya,ya,tidak,tidak,menikah,petani,8,44,1
tidak,ya,ya,tidak,tidak,menikah,pegawai,3,42,0
ya,ya,ya,tidak,tidak,belum menikah,petani,2,53,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,4,47,1
ya,ya,ya,tidak,tidak,menikah,pegawai,5,60,0
ya,ya,tidak,tidak,tidak,menikah,wiraswasta,3,57,0
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,7,26,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,62,1
ya,ya,ya,tidak,ya,janda/duda,buruh,6,58,1
ya,tidak,ya,tidak,tidak,menikah,pegawai,3,55,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,33,1
ya,ya,ya,tidak,ya,menikah,petani,4,28,1
ya,tidak,ya,tidak,tidak,belum menikah,pegawai,1,53,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,1,48,0
ya,ya,ya,tidak,ya,janda/duda,petani,3,33,1
ya,ya,ya,tidak,ya,janda/duda,petani,7,33,1
ya,tidak,ya,tidak,tidak,menikah,wiraswasta,1,68,0
ya,ya,tidak,tidak,ya,janda/duda,tidak bekerja,6,48,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,4,42,0
ya,ya,ya,tidak,ya,menikah,wiraswasta,4,49,0
ya,ya,ya,ya,tidak,menikah,pegawai,1,67,0
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,5,55,0
tidak,ya,ya,tidak,tidak,menikah,petani,6,53,1
ya,ya,ya,tidak,ya,janda/duda,buruh,6,27,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,6,36,1
ya,ya,ya,tidak,tidak,menikah,pegawai,5,23,0
ya,ya,ya,tidak,tidak,menikah,pegawai,2,51,0
ya,ya,ya,tidak,tidak,belum menikah,buruh,2,61,0
ya,ya,ya,tidak,tidak,menikah,pegawai,5,30,0
ya,ya,tidak,tidak,tidak,menikah,pegawai,5,65,0
ya,ya,ya,tidak,ya,menikah,buruh,4,61,1
ya,ya,ya,tidak,tidak,menikah,buruh,4,48,1
ya,ya,ya,tidak,tidak,menikah,pegawai,1,26,0
tidak,ya,ya,tidak,tidak,belum menikah,pegawai,1,53,0
ya,ya,tidak,tidak,ya,menikah,pegawai,1,30,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,4,62,0
tidak,ya,ya,tidak,ya,belum menikah,pegawai,4,52,0
ya,ya,ya,tidak,tidak,menikah,pegawai,3,44,0
tidak,ya,ya,tidak,ya,menikah,pegawai,2,25,0
ya,ya,ya,ya,tidak,menikah,wiraswasta,5,23,0
ya,ya,tidak,tidak,tidak,belum menikah,pegawai,5,69,0
ya,ya,ya,tidak,ya,menikah,petani,4,54,1
ya,ya,tidak,tidak,tidak,janda/duda,petani,4,33,1
ya,ya,ya,tidak,ya,menikah,petani,3,47,1
tidak,ya,ya,tidak,tidak,menikah,wiraswasta,1,42,0
ya,ya,tidak,tidak,ya,belum menikah,wiraswasta,1,62,0
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,4,33,0
ya,ya,tidak,tidak,tidak,menikah,pegawai,3,41,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,3,54,1
ya,ya,tidak,tidak,tidak,menikah,wiraswasta,2,38,0
ya,ya,tidak,tidak,tidak,menikah,wiraswasta,3,64,0
ya,ya,tidak,tidak,tidak,menikah,buruh,5,31,0
ya,ya,ya,tidak,tidak,menikah,pegawai,3,39,0
ya,ya,ya,tidak,tidak,belum menikah,pegawai,3,45,0
ya,ya,ya,tidak,tidak,janda/duda,tidak bekerja,4,49,1
ya,ya,ya,tidak,ya,janda/duda,buruh,8,53,1
ya,ya,ya,tidak,ya,janda/duda,buruh,8,34,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,3,25,1
ya,ya,ya,tidak,ya,janda/duda,buruh,5,31,1
ya,ya,ya,tidak,tidak,menikah,buruh,4,57,0
ya,ya,ya,tidak,ya,janda/duda,petani,3,61,1
ya,ya,ya,tidak,ya,menikah,petani,8,47,1
ya,ya,ya,tidak,tidak,janda/duda,petani,7,56,1
ya,ya,ya,tidak,ya,menikah,petani,8,51,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,6,56,1
ya,ya,ya,tidak,tidak,menikah,pegawai,1,57,0
ya,ya,ya,tidak,tidak,menikah,petani,4,33,1
ya,ya,ya,tidak,ya,janda/duda,buruh,4,52,1
ya,ya,ya,tidak,ya,menikah,petani,6,54,1
ya,ya,tidak,tidak,ya,menikah,buruh,4,29,1
ya,ya,tidak,tidak,ya,menikah,pegawai,4,59,0
ya,ya,tidak,tidak,ya,menikah,pegawai,3,21,0
ya,ya,ya,tidak,ya,menikah,wiraswasta,1,63,0
tidak,ya,ya,tidak,ya,menikah,pegawai,5,48,0
ya,ya,ya,tidak,tidak,menikah,pegawai,2,64,0
ya,ya,ya,tidak,tidak,menikah,pegawai,2,43,0
ya,ya,ya,tidak,tidak,menikah,pegawai,2,36,0
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,7,60,1
ya,ya,tidak,tidak,tidak,belum menikah,pegawai,4,44,0
ya,ya,tidak,tidak,tidak,belum menikah,pegawai,1,30,0
ya,tidak,ya,tidak,ya,menikah,buruh,4,61,1
ya,ya,tidak,tidak,ya,menikah,buruh,5,30,1
ya,ya,tidak,tidak,tidak,menikah,wiraswasta,5,23,0
ya,ya,ya,tidak,ya,janda/duda,buruh,7,64,1
ya,ya,ya,tidak,ya,menikah,petani,6,35,1
ya,ya,ya,tidak,ya,menikah,buruh,3,33,1
ya,ya,ya,tidak,ya,menikah,pegawai,4,33,0
ya,ya,ya,tidak,ya,menikah,buruh,8,36,1
ya,tidak,tidak,tidak,ya,menikah,petani,6,54,1
ya,ya,tidak,tidak,tidak,menikah,pegawai,2,52,0
ya,ya,ya,tidak,ya,janda/duda,buruh,6,37,1
tidak,ya,ya,tidak,ya,menikah,buruh,5,44,1
ya,ya,tidak,ya,tidak,belum menikah,pegawai,4,22,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,27,1
ya,ya,tidak,tidak,tidak,menikah,petani,5,66,0
ya,ya,ya,tidak,ya,menikah,petani,6,37,1
ya,ya,ya,tidak,ya,menikah,buruh,4,61,1
ya,ya,ya,tidak,ya,janda/duda,buruh,6,52,1
tidak,ya,ya,ya,ya,janda/duda,buruh,7,38,1
ya,ya,ya,tidak,ya,janda/duda,buruh,6,44,1
ya,ya,ya,tidak,ya,menikah,buruh,8,48,1
ya,ya,ya,tidak,ya,menikah,petani,8,54,1
ya,ya,ya,tidak,ya,menikah,petani,8,58,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,4,45,1
ya,ya,ya,tidak,tidak,belum menikah,wiraswasta,5,59,0
ya,ya,ya,tidak,tidak,menikah,pegawai,5,58,0
ya,ya,ya,tidak,ya,janda/duda,petani,7,42,1
ya,ya,ya,tidak,ya,janda/duda,buruh,8,60,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,4,43,1
ya,ya,tidak,tidak,tidak,menikah,petani,2,40,0
ya,tidak,ya,tidak,ya,menikah,petani,3,57,1
ya,ya,ya,ya,ya,janda/duda,tidak bekerja,4,61,1
ya,ya,tidak,tidak,ya,menikah,petani,7,50,1
tidak,ya,ya,tidak,tidak,belum menikah,wiraswasta,2,53,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,3,46,0
ya,ya,tidak,tidak,ya,menikah,buruh,6,57,1
ya,ya,ya,tidak,ya,menikah,wiraswasta,4,24,0
ya,ya,ya,tidak,tidak,menikah,petani,4,58,0
ya,ya,ya,tidak,ya,menikah,wiraswasta,5,23,0
ya,ya,tidak,tidak,tidak,belum menikah,petani,2,47,0
ya,ya,ya,tidak,ya,menikah,petani,4,40,1
ya,ya,ya,tidak,ya,menikah,buruh,4,54,1
ya,ya,ya,tidak,tidak,belum menikah,buruh,2,31,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,8,28,1
ya,ya,tidak,tidak,tidak,belum menikah,pegawai,2,20,0
ya,ya,ya,tidak,ya,menikah,pegawai,1,29,0
tidak,ya,ya,tidak,tidak,janda/duda,tidak bekerja,3,59,1
tidak,ya,ya,tidak,tidak,menikah,buruh,3,51,0
ya,ya,ya,tidak,tidak,belum menikah,pegawai,1,41,0
ya,ya,ya,tidak,tidak,menikah,buruh,5,59,0
ya,ya,ya,tidak,ya,janda/duda,petani,3,40,1
ya,ya,ya,tidak,ya,menikah,buruh,3,26,1
ya,ya,ya,tidak,ya,menikah,petani,5,49,1
tidak,ya,ya,tidak,ya,janda/duda,buruh,3,28,1
ya,ya,ya,tidak,tidak,menikah,petani,3,29,0
ya,ya,ya,tidak,tidak,menikah,petani,5,25,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,8,30,1
ya,ya,ya,tidak,ya,menikah,petani,7,64,1
ya,ya,ya,tidak,tidak,belum menikah,petani,5,67,0
ya,ya,ya,tidak,tidak,belum menikah,pegawai,1,56,0
ya,ya,ya,tidak,tidak,belum menikah,pegawai,2,24,0
ya,ya,ya,tidak,ya,menikah,petani,6,43,1
ya,ya,ya,tidak,tidak,menikah,petani,6,39,1
ya,ya,ya,tidak,tidak,menikah,buruh,7,44,1
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,43,1
tidak,ya,ya,tidak,ya,menikah,buruh,6,54,1
ya,ya,ya,tidak,tidak,belum menikah,buruh,2,62,0
ya,ya,ya,tidak,ya,menikah,buruh,5,50,1
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,8,37,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,1,24,0
ya,ya,ya,tidak,ya,janda/duda,petani,4,31,1
ya,ya,ya,tidak,ya,menikah,petani,4,36,1
ya,ya,ya,tidak,tidak,belum menikah,petani,2,65,0
tidak,ya,tidak,tidak,tidak,menikah,wiraswasta,3,55,0
ya,ya,tidak,tidak,tidak,menikah,pegawai,2,65,0
ya,ya,ya,tidak,ya,menikah,petani,6,49,1
tidak,ya,tidak,tidak,ya,menikah,wiraswasta,3,30,0
ya,ya,ya,tidak,tidak,belum menikah,pegawai,4,44,0
ya,ya,ya,ya,ya,menikah,pegawai,5,62,0
ya,ya,ya,tidak,ya,janda/duda,buruh,6,42,1
ya,ya,ya,tidak,ya,menikah,buruh,8,28,1
ya,ya,ya,tidak,ya,menikah,buruh,8,33,1
ya,ya,ya,tidak,tidak,belum menikah,pegawai,5,41,0
ya,ya,ya,tidak,ya,menikah,petani,5,30,1
ya,ya,ya,tidak,ya,menikah,pegawai,5,66,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,5,57,1
ya,tidak,ya,tidak,tidak,belum menikah,wiraswasta,3,34,0
ya,ya,ya,tidak,ya,janda/duda,buruh,4,39,1
ya,ya,ya,tidak,tidak,menikah,wiraswasta,1,65,0
ya,ya,ya,tidak,ya,menikah,tidak bekerja,8,55,1
ya,ya,ya,tidak,ya,janda/duda,petani,5,49,1
ya,ya,ya,tidak,ya,menikah,petani,3,64,1
ya,ya,ya,ya,tidak,belum menikah,petani,4,47,0
tidak,ya,ya,tidak,tidak,belum menikah,pegawai,3,54,0
ya,tidak,tidak,tidak,tidak,belum menikah,wiraswasta,5,34,0
ya,ya,ya,ya,tidak,menikah,pegawai,5,42,0
ya,ya,ya,tidak,tidak,menikah,wiraswasta,1,35,0
ya,ya,ya,tidak,ya,janda/duda,tidak bekerja,3,46,1
ya,ya,tidak,tidak,ya,belum menikah,wiraswasta,4,67,0
