umur,status_pekerjaan,status_pernikahan,layak_subsidi
79,pengangguran,menikah,0
22,pengangguran,belum menikah,0
61,pekerja informal,belum menikah,0
31,karyawan tetap,duda,0
42,pekerja informal,janda,0
24,pns,janda,0
33,pegawai tetap,duda,0
70,pegawai tetap,menikah,0
67,pns,belum menikah,0
36,pns,cerai,0
28,pns,janda,0
71,wirausaha,belum menikah,0
74,pekerja informal,janda,1
57,pekerja informal,cerai,0
55,pns,janda,0
59,pegawai tetap,belum menikah,0
29,pns,cerai,0
66,pekerja informal,belum menikah,0
67,pengangguran,duda,1
49,wirausaha,belum menikah,0
69,pns,menikah,0
57,pengangguran,cerai,0
26,buruh,janda,0
36,pekerja informal,cerai,0
55,pegawai tetap,janda,0
29,pns,belum menikah,0
36,karyawan tetap,cerai,0
71,pegawai tetap,janda,0
28,pengangguran,duda,0
62,buruh,janda,0
28,pekerja informal,menikah,0
26,pengangguran,duda,0
19,buruh,janda,0
42,pekerja informal,menikah,0
18,pegawai tetap,cerai,0
31,pns,menikah,0
58,karyawan tetap,cerai,0
18,pengangguran,duda,0
64,karyawan tetap,cerai,0
51,pekerja informal,belum menikah,0
78,buruh,menikah,0
60,pekerja informal,duda,0
35,wirausaha,menikah,0
74,buruh,duda,1
74,karyawan tetap,menikah,0
38,wirausaha,belum menikah,0
35,buruh,belum menikah,0
65,pns,duda,0
28,karyawan tetap,belum menikah,0
34,karyawan tetap,menikah,0
21,buruh,menikah,0
53,pekerja informal,menikah,0
18,pengangguran,menikah,0
63,pegawai tetap,cerai,0
44,karyawan tetap,janda,0
64,pengangguran,janda,0
30,pekerja informal,duda,0
62,wirausaha,janda,1
18,pegawai tetap,cerai,0
22,pns,janda,0
57,wirausaha,belum menikah,1
74,pegawai tetap,cerai,0
58,pengangguran,belum menikah,0
35,buruh,cerai,0
66,karyawan tetap,cerai,0
71,buruh,menikah,0
48,wirausaha,menikah,0
35,wirausaha,cerai,0
19,pns,belum menikah,0
18,wirausaha,janda,0
57,karyawan tetap,cerai,0
76,pegawai tetap,duda,0
29,pns,duda,0
60,pengangguran,janda,0
78,pekerja informal,janda,1
22,karyawan tetap,menikah,0
76,karyawan tetap,janda,0
38,wirausaha,duda,0
37,pengangguran,menikah,0
59,pengangguran,duda,0
49,buruh,duda,0
68,wirausaha,belum menikah,0
39,pegawai tetap,duda,0
43,wirausaha,duda,0
79,pengangguran,duda,1
75,pengangguran,duda,1
56,wirausaha,belum menikah,1
71,pekerja informal,belum menikah,0
29,pengangguran,cerai,0
76,pekerja informal,janda,1
51,pns,cerai,0
26,pns,menikah,0
78,pekerja informal,janda,1
60,buruh,duda,0
63,pns,belum menikah,0
64,pegawai tetap,belum menikah,0
20,pegawai tetap,janda,0
59,pengangguran,janda,0
44,karyawan tetap,janda,0
28,pengangguran,duda,0
25,pegawai tetap,belum menikah,0
67,pegawai tetap,cerai,0
70,buruh,cerai,1
32,pns,duda,0
66,buruh,duda,1
57,buruh,cerai,0
30,pekerja informal,cerai,0
51,pns,belum menikah,0
46,karyawan tetap,menikah,0
22,pengangguran,menikah,0
76,pns,janda,0
30,buruh,janda,0
37,pengangguran,belum menikah,0
76,pns,janda,0
26,pegawai tetap,cerai,0
62,pekerja informal,janda,0
36,buruh,duda,0
47,pengangguran,belum menikah,0
75,pekerja informal,menikah,0
52,karyawan tetap,janda,0
22,buruh,janda,0
50,pengangguran,menikah,0
21,pengangguran,janda,0
58,pns,duda,0
36,buruh,menikah,0
77,karyawan tetap,belum menikah,0
76,wirausaha,menikah,0
48,pegawai tetap,duda,0
48,pns,janda,0
49,karyawan tetap,duda,0
74,buruh,janda,1
34,buruh,belum menikah,0
38,pns,janda,0
57,pengangguran,janda,0
52,pengangguran,cerai,0
46,pegawai tetap,duda,0
32,buruh,duda,0
32,pekerja informal,duda,0
18,pekerja informal,menikah,0
20,pns,janda,0
40,pengangguran,belum menikah,0
69,pekerja informal,cerai,1
35,wirausaha,duda,0
21,pns,belum menikah,0
65,wirausaha,janda,1
22,pekerja informal,duda,0
34,pns,janda,0
52,pekerja informal,janda,0
79,pegawai tetap,cerai,0
77,buruh,duda,1
38,karyawan tetap,menikah,0
76,karyawan tetap,cerai,0
36,pns,cerai,0
26,pekerja informal,menikah,0
69,pekerja informal,duda,1
50,karyawan tetap,belum menikah,0
77,pns,menikah,0
30,buruh,janda,0
64,pengangguran,duda,0
51,pengangguran,janda,0
27,pengangguran,cerai,0
63,pegawai tetap,janda,0
74,pengangguran,janda,1
22,wirausaha,janda,0
25,wirausaha,belum menikah,0
26,karyawan tetap,janda,0
46,pengangguran,menikah,0
61,pns,duda,0
19,karyawan tetap,cerai,0
64,pengangguran,menikah,0
76,karyawan tetap,menikah,0
53,wirausaha,janda,0
51,pegawai tetap,menikah,0
21,pengangguran,duda,0
64,pns,belum menikah,0
76,pns,menikah,0
34,buruh,cerai,0
38,pengangguran,menikah,0
46,pengangguran,cerai,0
72,pengangguran,belum menikah,0
71,pegawai tetap,duda,0
61,pns,belum menikah,0
75,pengangguran,cerai,1
25,wirausaha,belum menikah,0
63,pegawai tetap,belum menikah,0
20,karyawan tetap,menikah,0
75,karyawan tetap,belum menikah,0
31,pns,cerai,0
62,pengangguran,menikah,0
23,buruh,janda,0
43,pengangguran,duda,0
56,pengangguran,duda,0
71,pengangguran,menikah,0
55,pns,belum menikah,0
21,karyawan tetap,menikah,0
66,pns,duda,0
40,pegawai tetap,duda,0
69,pekerja informal,cerai,1
36,wirausaha,menikah,0
79,pns,janda,0
54,pns,janda,0
40,karyawan tetap,duda,0
24,buruh,janda,0
25,pegawai tetap,duda,0
74,pegawai tetap,cerai,0
52,pengangguran,cerai,0
28,pegawai tetap,cerai,0
38,pekerja informal,menikah,0
26,buruh,cerai,0
74,buruh,janda,1
43,pns,belum menikah,0
22,buruh,duda,0
43,buruh,duda,0
57,karyawan tetap,duda,0
28,pengangguran,janda,0
44,pegawai tetap,belum menikah,0
51,karyawan tetap,duda,0
51,buruh,menikah,1
64,pegawai tetap,cerai,0
73,pegawai tetap,cerai,0
73,karyawan tetap,cerai,0
41,wirausaha,cerai,0
22,pns,belum menikah,0
27,pengangguran,menikah,0
28,pegawai tetap,belum menikah,0
31,pekerja informal,belum menikah,0
53,pns,belum menikah,0
35,wirausaha,janda,0
55,pegawai tetap,janda,0
78,pns,menikah,0
48,pengangguran,belum menikah,0
73,pegawai tetap,duda,0
74,pengangguran,janda,1
61,pekerja informal,menikah,0
38,pengangguran,belum menikah,0
37,pekerja informal,janda,0
34,pengangguran,janda,0
61,wirausaha,cerai,1
60,pekerja informal,cerai,0
30,pengangguran,menikah,0
57,buruh,duda,0
43,karyawan tetap,menikah,0
55,buruh,belum menikah,0
26,pns,cerai,0
65,pns,cerai,0
34,pns,menikah,0
75,buruh,cerai,1
57,wirausaha,menikah,0
50,pekerja informal,janda,0
21,pegawai tetap,duda,0
43,pegawai tetap,cerai,0
75,pengangguran,cerai,1
77,wirausaha,menikah,0
57,pekerja informal,duda,0
19,pekerja informal,duda,0
36,pegawai tetap,belum menikah,0
46,pns,janda,0
78,wirausaha,duda,0
72,pekerja informal,menikah,0
28,pekerja informal,belum menikah,0
43,wirausaha,menikah,0
32,pengangguran,duda,0
27,wirausaha,janda,0
74,pengangguran,duda,1
79,buruh,cerai,1
38,pns,belum menikah,0
36,pekerja informal,belum menikah,0
41,pekerja informal,belum menikah,0
23,wirausaha,menikah,0
52,pekerja informal,menikah,0
18,buruh,cerai,0
39,pns,belum menikah,0
25,pekerja informal,belum menikah,0
51,karyawan tetap,belum menikah,0
32,buruh,belum menikah,0
33,pekerja informal,belum menikah,0
56,pekerja informal,belum menikah,0
25,wirausaha,belum menikah,0
40,pekerja informal,duda,0
24,pekerja informal,duda,0
59,wirausaha,cerai,1
55,karyawan tetap,janda,0
55,pengangguran,duda,0
29,karyawan tetap,duda,0
23,karyawan tetap,janda,0
34,pegawai tetap,menikah,0
78,pengangguran,duda,1
28,wirausaha,menikah,0
69,wirausaha,janda,0
67,buruh,belum menikah,0
47,pengangguran,cerai,0
40,pekerja informal,cerai,0
43,pekerja informal,menikah,0
67,pns,belum menikah,0
27,buruh,menikah,0
26,pegawai tetap,janda,0
58,pekerja informal,janda,0
25,pegawai tetap,belum menikah,0
18,pekerja informal,belum menikah,0
49,pns,janda,0
72,pekerja informal,menikah,0
27,wirausaha,belum menikah,0
61,pns,janda,0
30,buruh,menikah,0
29,wirausaha,menikah,0
61,karyawan tetap,duda,0
38,pegawai tetap,duda,0
37,pengangguran,belum menikah,0
33,pengangguran,menikah,0
68,pengangguran,janda,1
45,karyawan tetap,duda,0
32,pegawai tetap,belum menikah,0
32,pengangguran,duda,0
33,karyawan tetap,belum menikah,0
59,pengangguran,menikah,0
66,pegawai tetap,cerai,0
43,pengangguran,cerai,0
71,pegawai tetap,janda,0
24,pegawai tetap,belum menikah,0
39,pegawai tetap,duda,0
20,buruh,janda,0
37,karyawan tetap,janda,0
21,buruh,janda,0
23,pengangguran,duda,0
31,buruh,belum menikah,0
24,pns,menikah,0
48,karyawan tetap,cerai,0
50,pengangguran,belum menikah,0
71,pegawai tetap,cerai,0
42,karyawan tetap,cerai,0
55,pns,duda,0
75,pegawai tetap,menikah,0
79,wirausaha,cerai,0
27,karyawan tetap,menikah,0
39,pekerja informal,janda,0
53,pns,belum menikah,0
47,wirausaha,duda,0
56,buruh,duda,0
51,pengangguran,menikah,0
74,wirausaha,janda,0
77,pekerja informal,janda,1
45,pns,janda,0
28,pengangguran,belum menikah,0
51,pekerja informal,belum menikah,0
36,wirausaha,menikah,0
20,wirausaha,menikah,0
79,wirausaha,menikah,0
38,pegawai tetap,janda,0
62,pekerja informal,menikah,0
25,pengangguran,cerai,0
21,wirausaha,janda,0
67,karyawan tetap,janda,0
74,pns,janda,0
75,pengangguran,janda,1
53,karyawan tetap,duda,0
30,pns,belum menikah,0
18,wirausaha,belum menikah,0
57,pegawai tetap,janda,0
22,pns,duda,0
40,pengangguran,janda,0
74,pns,janda,0
29,wirausaha,menikah,0
66,pengangguran,menikah,0
19,wirausaha,belum menikah,0
79,wirausaha,cerai,0
24,karyawan tetap,menikah,0
34,pns,belum menikah,0
74,buruh,cerai,1
20,pengangguran,menikah,0
44,pekerja informal,cerai,0
35,pengangguran,janda,0
54,buruh,janda,0
44,buruh,duda,0
41,pegawai tetap,duda,0
62,buruh,belum menikah,0
59,pengangguran,cerai,0
22,wirausaha,menikah,0
26,wirausaha,belum menikah,0
65,pegawai tetap,janda,0
72,karyawan tetap,menikah,0
78,pegawai tetap,cerai,0
64,pekerja informal,duda,0
59,pns,menikah,0
21,buruh,duda,0
59,pengangguran,janda,0
68,pengangguran,janda,1
32,wirausaha,belum menikah,0
56,pengangguran,menikah,0
27,karyawan tetap,cerai,0
68,pns,belum menikah,0
59,pegawai tetap,belum menikah,0
79,wirausaha,belum menikah,0
36,wirausaha,duda,0
18,pekerja informal,cerai,0
20,buruh,belum menikah,0
18,pegawai tetap,duda,0
65,pengangguran,menikah,0
22,pns,janda,0
57,karyawan tetap,cerai,0
40,pekerja informal,belum menikah,0
77,pns,menikah,0
67,pegawai tetap,menikah,0
76,karyawan tetap,belum menikah,0
43,buruh,duda,0
20,pns,belum menikah,0
36,pengangguran,cerai,0
59,pekerja informal,belum menikah,0
79,karyawan tetap,janda,0
29,pengangguran,cerai,0
28,karyawan tetap,menikah,0
34,buruh,cerai,0
75,pegawai tetap,belum menikah,0
46,buruh,cerai,0
62,pegawai tetap,duda,0
25,karyawan tetap,belum menikah,0
31,pekerja informal,duda,0
55,karyawan tetap,cerai,0
75,buruh,janda,1
35,karyawan tetap,belum menikah,0
33,wirausaha,janda,0
55,pns,cerai,0
24,buruh,janda,0
36,pekerja informal,menikah,0
35,pegawai tetap,janda,0
61,wirausaha,cerai,1
73,wirausaha,janda,0
24,pegawai tetap,menikah,0
69,pekerja informal,duda,1
38,karyawan tetap,cerai,0
68,pns,belum menikah,0
47,karyawan tetap,janda,0
66,karyawan tetap,cerai,0
20,pns,janda,0
71,pegawai tetap,janda,0
32,pengangguran,janda,0
44,wirausaha,janda,0
29,pekerja informal,belum menikah,0
26,wirausaha,menikah,0
42,karyawan tetap,duda,0
67,pegawai tetap,menikah,0
19,pengangguran,duda,0
25,wirausaha,duda,0
24,buruh,duda,0
33,wirausaha,menikah,0
61,pns,menikah,0
33,wirausaha,duda,0
58,pekerja informal,janda,0
52,pengangguran,duda,0
24,wirausaha,janda,0
50,pekerja informal,janda,0
53,pegawai tetap,cerai,0
36,buruh,menikah,0
67,pegawai tetap,menikah,0
47,pns,cerai,0
44,wirausaha,menikah,0
29,wirausaha,belum menikah,0
67,pengangguran,duda,1
38,pns,duda,0
49,karyawan tetap,duda,0
51,wirausaha,cerai,0
35,pns,duda,0
76,pekerja informal,duda,1
32,wirausaha,janda,0
41,karyawan tetap,menikah,0
75,pegawai tetap,cerai,0
33,buruh,duda,0
23,pekerja informal,menikah,0
35,pegawai tetap,janda,0
25,pekerja informal,belum menikah,0
38,buruh,cerai,0
23,pengangguran,belum menikah,0
71,pns,cerai,0
59,karyawan tetap,duda,0
44,karyawan tetap,janda,0
63,pekerja informal,menikah,0
35,pekerja informal,janda,0
76,wirausaha,janda,0
42,pns,cerai,0
68,pns,janda,0
28,pekerja informal,menikah,0
44,pns,duda,0
76,pekerja informal,janda,1
36,pns,janda,0
69,pegawai tetap,menikah,0
76,pengangguran,janda,1
79,pengangguran,belum menikah,0
61,pegawai tetap,duda,0
48,karyawan tetap,duda,0
57,karyawan tetap,duda,0
46,buruh,menikah,1
32,pns,cerai,0
23,wirausaha,duda,0
38,pegawai tetap,cerai,0
40,pekerja informal,janda,0
68,wirausaha,janda,0
26,pengangguran,cerai,0
20,wirausaha,janda,0
77,karyawan tetap,menikah,0
42,pengangguran,menikah,0
29,wirausaha,cerai,0
75,karyawan tetap,duda,0
48,wirausaha,duda,0
23,pegawai tetap,menikah,0
54,pns,duda,0
63,pegawai tetap,duda,0
78,buruh,cerai,1
62,pekerja informal,duda,0
41,buruh,janda,0
39,karyawan tetap,belum menikah,0
45,pns,belum menikah,0
65,pekerja informal,duda,0
18,pns,duda,0
74,buruh,cerai,1
30,pekerja informal,belum menikah,0
47,wirausaha,cerai,0
64,buruh,menikah,0
66,pengangguran,cerai,1
38,pegawai tetap,cerai,0
47,karyawan tetap,cerai,0
47,karyawan tetap,duda,0
18,pns,janda,0
34,karyawan tetap,belum menikah,0
51,karyawan tetap,janda,0
37,wirausaha,menikah,0
75,buruh,menikah,0
29,buruh,cerai,0
40,pekerja informal,belum menikah,0
21,pns,janda,0
55,karyawan tetap,menikah,0
60,pegawai tetap,menikah,0
22,pengangguran,belum menikah,0
77,karyawan tetap,belum menikah,0
62,pns,belum menikah,0
27,pns,cerai,0
64,karyawan tetap,janda,0
73,pekerja informal,menikah,0
51,pegawai tetap,belum menikah,0
76,pegawai tetap,menikah,0
64,pengangguran,duda,0
31,pekerja informal,belum menikah,0
67,pekerja informal,duda,1
55,pns,janda,0
48,karyawan tetap,duda,0
22,pns,belum menikah,0
67,pekerja informal,menikah,0
45,pengangguran,belum menikah,0
37,buruh,menikah,0
23,wirausaha,janda,0
75,pns,cerai,0
60,pegawai tetap,janda,0
66,wirausaha,belum menikah,0
61,pns,menikah,0
23,pengangguran,belum menikah,0
67,karyawan tetap,janda,0
49,pns,cerai,0
31,karyawan tetap,menikah,0
39,wirausaha,belum menikah,0
29,pegawai tetap,duda,0
22,pns,janda,0
27,pns,janda,0
38,pns,duda,0
28,buruh,duda,0
21,buruh,menikah,0
42,pengangguran,cerai,0
30,wirausaha,belum menikah,0
54,pengangguran,duda,0
21,wirausaha,belum menikah,0
65,buruh,belum menikah,0
60,pengangguran,belum menikah,0
29,karyawan tetap,menikah,0
74,pegawai tetap,duda,0
70,pns,cerai,0
66,pns,menikah,0
55,pengangguran,cerai,0
75,buruh,menikah,0
58,buruh,cerai,0
79,pekerja informal,janda,1
33,pengangguran,janda,0
43,karyawan tetap,belum menikah,0
57,buruh,belum menikah,0
69,pekerja informal,duda,1
59,pegawai tetap,belum menikah,0
53,karyawan tetap,belum menikah,0
72,wirausaha,duda,0
56,pegawai tetap,cerai,0
65,pns,janda,0
26,wirausaha,cerai,0
69,pekerja informal,janda,1
51,pengangguran,cerai,0
60,buruh,belum menikah,0
32,pengangguran,cerai,0
62,pns,duda,0
45,pekerja informal,duda,0
29,wirausaha,belum menikah,0
27,pegawai tetap,belum menikah,0
40,pegawai tetap,janda,0
26,buruh,cerai,0
73,wirausaha,duda,0
62,pns,duda,0
55,pengangguran,menikah,0
58,karyawan tetap,menikah,0
68,pengangguran,menikah,0
29,wirausaha,menikah,0
73,pekerja informal,menikah,0
31,pekerja informal,janda,0
27,pns,duda,0
72,karyawan tetap,belum menikah,0
69,pekerja informal,menikah,0
52,pegawai tetap,cerai,0
64,karyawan tetap,janda,0
77,karyawan tetap,janda,0
60,pekerja informal,menikah,0
45,karyawan tetap,menikah,0
33,pns,duda,0
76,pengangguran,menikah,0
29,pns,duda,0
60,pengangguran,duda,0
34,wirausaha,janda,0
24,pengangguran,menikah,0
63,pns,cerai,0
72,wirausaha,belum menikah,0
68,karyawan tetap,belum menikah,0
49,pns,belum menikah,0
40,pengangguran,janda,0
28,wirausaha,cerai,0
46,karyawan tetap,janda,0
36,karyawan tetap,janda,0
76,pegawai tetap,duda,0
42,wirausaha,duda,0
27,pengangguran,duda,0
33,pegawai tetap,cerai,0
67,karyawan tetap,menikah,0
65,buruh,janda,0
23,pengangguran,janda,0
62,wirausaha,cerai,1
38,pns,menikah,0
36,pengangguran,janda,0
64,buruh,cerai,0
57,pns,belum menikah,0
65,pegawai tetap,duda,0
48,pekerja informal,belum menikah,0
57,pekerja informal,janda,0
36,pegawai tetap,menikah,0
63,karyawan tetap,belum menikah,0
74,pekerja informal,janda,1
72,pns,cerai,0
22,karyawan tetap,cerai,0
53,pns,cerai,0
64,pekerja informal,duda,0
32,wirausaha,janda,0
78,karyawan tetap,cerai,0
31,wirausaha,menikah,0
60,pengangguran,menikah,0
51,karyawan tetap,cerai,0
30,buruh,duda,0
37,pekerja informal,belum menikah,0
49,pekerja informal,duda,0
48,pns,belum menikah,0
23,karyawan tetap,belum menikah,0
67,pegawai tetap,belum menikah,0
76,pegawai tetap,menikah,0
75,pengangguran,belum menikah,0
72,karyawan tetap,cerai,0
18,karyawan tetap,duda,0
67,wirausaha,janda,0
64,karyawan tetap,menikah,0
73,buruh,janda,1
48,pengangguran,cerai,0
51,pegawai tetap,duda,0
26,karyawan tetap,duda,0
23,karyawan tetap,cerai,0
65,wirausaha,duda,1
62,karyawan tetap,cerai,0
25,pengangguran,duda,0
18,karyawan tetap,duda,0
19,karyawan tetap,cerai,0
68,karyawan tetap,belum menikah,0
30,pekerja informal,belum menikah,0
69,pengangguran,menikah,0
56,pns,belum menikah,0
19,wirausaha,menikah,0
18,pengangguran,cerai,0
52,pegawai tetap,duda,0
38,pns,belum menikah,0
76,wirausaha,menikah,0
79,pengangguran,duda,1
28,pns,janda,0
74,buruh,belum menikah,0
63,wirausaha,menikah,0
52,wirausaha,belum menikah,0
64,pekerja informal,belum menikah,0
61,pengangguran,duda,0
38,pengangguran,cerai,0
40,buruh,duda,0
73,pns,cerai,0
56,pengangguran,menikah,0
48,pns,janda,0
45,pns,cerai,0
43,pegawai tetap,janda,0
57,karyawan tetap,duda,0
25,pekerja informal,menikah,0
64,pekerja informal,belum menikah,0
64,wirausaha,menikah,0
22,karyawan tetap,duda,0
75,wirausaha,cerai,0
22,pengangguran,cerai,0
70,wirausaha,janda,0
23,wirausaha,belum menikah,0
74,pengangguran,janda,1
54,pns,duda,0
53,pns,duda,0
32,wirausaha,cerai,0
18,buruh,janda,0
32,pns,duda,0
73,pns,duda,0
33,pekerja informal,cerai,0
76,pengangguran,belum menikah,0
76,pekerja informal,belum menikah,0
38,pengangguran,belum menikah,0
60,wirausaha,duda,1
28,pns,duda,0
62,pns,menikah,0
58,wirausaha,cerai,1
71,wirausaha,cerai,0
76,pekerja informal,menikah,0
64,pegawai tetap,menikah,0
37,wirausaha,duda,0
74,pekerja informal,duda,1
27,wirausaha,menikah,0
78,pns,menikah,0
20,pns,cerai,0
60,buruh,menikah,1
70,wirausaha,cerai,0
44,pekerja informal,janda,0
55,pegawai tetap,duda,0
63,pengangguran,cerai,0
19,wirausaha,duda,0
43,pekerja informal,belum menikah,0
69,buruh,cerai,1
79,buruh,menikah,0
46,karyawan tetap,menikah,0
26,buruh,janda,0
77,wirausaha,belum menikah,0
70,pengangguran,duda,1
69,pekerja informal,duda,1
71,buruh,belum menikah,0
35,karyawan tetap,belum menikah,0
74,karyawan tetap,cerai,0
70,karyawan tetap,cerai,0
43,pns,duda,0
69,buruh,belum menikah,0
26,buruh,janda,0
74,wirausaha,janda,0
54,pekerja informal,janda,0
75,buruh,menikah,0
65,buruh,cerai,0
38,karyawan tetap,belum menikah,0
52,pns,menikah,0
34,pns,janda,0
58,pns,menikah,0
74,pns,janda,0
72,buruh,janda,1
59,pegawai tetap,duda,0
61,karyawan tetap,cerai,0
21,wirausaha,cerai,0
53,pns,cerai,0
25,karyawan tetap,belum menikah,0
60,pns,cerai,0
57,pengangguran,janda,0
29,pns,belum menikah,0
62,pns,belum menikah,0
63,karyawan tetap,janda,0
19,pengangguran,menikah,0
57,pekerja informal,duda,0
78,pns,belum menikah,0
45,karyawan tetap,janda,0
46,buruh,cerai,0
32,pekerja informal,janda,0
27,buruh,belum menikah,0
64,pekerja informal,janda,0
73,pekerja informal,cerai,1
27,buruh,duda,0
63,karyawan tetap,belum menikah,0
47,wirausaha,janda,0
59,buruh,janda,0
78,wirausaha,cerai,0
65,buruh,janda,0
71,pns,janda,0
51,pengangguran,belum menikah,0
53,wirausaha,cerai,0
72,buruh,duda,1
72,pns,belum menikah,0
24,wirausaha,cerai,0
50,wirausaha,menikah,0
52,pekerja informal,cerai,0
46,wirausaha,janda,0
55,karyawan tetap,janda,0
32,pekerja informal,menikah,0
37,pekerja informal,duda,0
70,pns,cerai,0
26,pegawai tetap,janda,0
60,pns,duda,0
65,pegawai tetap,janda,0
39,pengangguran,duda,0
36,wirausaha,duda,0
46,karyawan tetap,cerai,0
79,pengangguran,janda,1
28,pengangguran,belum menikah,0
72,pegawai tetap,belum menikah,0
75,pengangguran,janda,1
34,wirausaha,menikah,0
75,pengangguran,cerai,1
33,pegawai tetap,belum menikah,0
58,pegawai tetap,menikah,0
23,pengangguran,duda,0
62,pengangguran,menikah,0
20,pengangguran,cerai,0
44,pns,duda,0
73,karyawan tetap,menikah,0
79,pegawai tetap,belum menikah,0
54,buruh,duda,0
50,pegawai tetap,duda,0
20,pengangguran,janda,0
28,pengangguran,belum menikah,0
45,pegawai tetap,belum menikah,0
18,buruh,janda,0
63,pns,cerai,0
60,wirausaha,menikah,0
60,buruh,duda,0
73,pns,duda,0
50,pegawai tetap,cerai,0
72,pengangguran,menikah,0
60,pegawai tetap,janda,0
37,pegawai tetap,menikah,0
32,wirausaha,belum menikah,0
47,wirausaha,cerai,0
39,buruh,janda,0
29,buruh,cerai,0
26,buruh,duda,0
74,buruh,belum menikah,0
34,pengangguran,janda,0
62,pengangguran,belum menikah,0
32,pengangguran,menikah,0
65,pengangguran,menikah,0
63,pengangguran,cerai,0
39,pengangguran,janda,0
22,pekerja informal,cerai,0
46,pekerja informal,belum menikah,0
37,pegawai tetap,cerai,0
53,buruh,cerai,0
52,pegawai tetap,belum menikah,0
45,buruh,duda,0
77,pekerja informal,menikah,0
75,karyawan tetap,menikah,0
55,wirausaha,belum menikah,1
63,wirausaha,cerai,1
27,pns,belum menikah,0
74,pegawai tetap,belum menikah,0
28,pekerja informal,janda,0
47,pns,cerai,0
18,wirausaha,belum menikah,0
38,pekerja informal,janda,0
46,buruh,menikah,1
58,karyawan tetap,duda,0
54,karyawan tetap,belum menikah,0
27,pekerja informal,cerai,0
65,karyawan tetap,cerai,0
19,karyawan tetap,menikah,0
52,pegawai tetap,cerai,0
65,pengangguran,janda,0
63,pegawai tetap,menikah,0
29,pengangguran,janda,0
22,pengangguran,menikah,0
36,pns,menikah,0
21,buruh,janda,0
22,buruh,janda,0
58,buruh,cerai,0
63,karyawan tetap,duda,0
28,buruh,cerai,0
25,wirausaha,belum menikah,0
45,pns,belum menikah,0
75,buruh,janda,1
41,pengangguran,janda,0
63,pns,cerai,0
41,pns,janda,0
34,pns,belum menikah,0
23,pengangguran,menikah,0
63,pengangguran,janda,0
76,wirausaha,menikah,0
74,pegawai tetap,janda,0
47,wirausaha,menikah,0
27,wirausaha,menikah,0
33,pengangguran,belum menikah,0
20,karyawan tetap,janda,0
45,buruh,belum menikah,0
67,pengangguran,janda,1
65,buruh,cerai,0
38,karyawan tetap,cerai,0
78,pekerja informal,duda,1
79,pekerja informal,belum menikah,0
34,buruh,belum menikah,0
24,wirausaha,duda,0
49,karyawan tetap,cerai,0
74,pns,duda,0
78,wirausaha,janda,0
57,pekerja informal,janda,0
30,pengangguran,duda,0
24,buruh,janda,0
75,pekerja informal,cerai,1
34,pns,cerai,0
73,buruh,duda,1
29,wirausaha,janda,0
54,karyawan tetap,duda,0
73,buruh,duda,1
61,karyawan tetap,duda,0
26,buruh,belum menikah,0
52,wirausaha,belum menikah,0
40,pns,duda,0
51,pegawai tetap,duda,0
65,karyawan tetap,belum menikah,0
74,pegawai tetap,menikah,0
18,pegawai tetap,menikah,0
72,pekerja informal,duda,1
23,pengangguran,menikah,0
55,buruh,cerai,0
62,karyawan tetap,belum menikah,0
76,wirausaha,duda,0
51,wirausaha,janda,0
75,pegawai tetap,janda,0
46,pekerja informal,menikah,0
51,karyawan tetap,cerai,0
25,buruh,janda,0
72,pns,janda,0
26,pegawai tetap,duda,0
56,pegawai tetap,cerai,0
26,pengangguran,janda,0
40,wirausaha,menikah,0
44,buruh,janda,0
62,pengangguran,menikah,0
47,pegawai tetap,belum menikah,0
63,buruh,janda,0
63,karyawan tetap,menikah,0
42,buruh,duda,0
77,pengangguran,belum menikah,0
78,pegawai tetap,belum menikah,0
68,karyawan tetap,janda,0
51,pengangguran,duda,0
58,pekerja informal,menikah,0
44,pns,duda,0
54,pekerja informal,belum menikah,0
19,wirausaha,cerai,0
20,buruh,duda,0
75,pns,belum menikah,0
49,buruh,janda,0
21,pegawai tetap,cerai,0
35,pekerja informal,cerai,0
20,pegawai tetap,cerai,0
36,wirausaha,cerai,0
52,karyawan tetap,belum menikah,0
79,karyawan tetap,duda,0
56,buruh,menikah,1
66,pekerja informal,janda,1
34,wirausaha,belum menikah,0
35,wirausaha,menikah,0
63,pekerja informal,duda,0
69,pekerja informal,janda,1
65,pegawai tetap,duda,0
62,pekerja informal,duda,0
23,karyawan tetap,duda,0
19,pengangguran,belum menikah,0
55,wirausaha,belum menikah,1
42,wirausaha,menikah,0
27,buruh,duda,0
46,pegawai tetap,duda,0
46,karyawan tetap,cerai,0
72,pns,belum menikah,0
74,pegawai tetap,belum menikah,0
21,karyawan tetap,janda,0
18,pekerja informal,duda,0
45,wirausaha,duda,0
69,karyawan tetap,janda,0
34,wirausaha,janda,0
37,pegawai tetap,janda,0
22,pekerja informal,belum menikah,0
59,pegawai tetap,menikah,0
22,wirausaha,cerai,0
56,buruh,janda,0
55,pns,duda,0
22,buruh,belum menikah,0
36,karyawan tetap,cerai,0
27,pns,belum menikah,0
49,pns,menikah,0
44,pekerja informal,menikah,0
41,pekerja informal,menikah,0
23,pns,belum menikah,0
28,karyawan tetap,menikah,0
54,pengangguran,cerai,0
41,pns,janda,0
72,pns,cerai,0
76,pekerja informal,cerai,1
39,pns,janda,0
52,buruh,belum menikah,0
37,wirausaha,janda,0
